Print ISBN,eBook ISBN,File Name,Title,Subtitle,Contributor 1 Role,Contributor 1 Full Name,Contributor 2 Role,Contributor 2 Full Name,Contributor 3 Role,Contributor 3 Full Name,Contributor 4 Role,Contributor 4 Full Name,Contributor 5 Role,Contributor 5 Full Name,Contributor 6 Role,Contributor 6 Full Name,Contributor 7 Role,Contributor 7 Full Name,Price,Main Description
9781629635743,9781629635910,advertising_shits_in_your_head_9781629635910.pdf,Advertising Shits in Your Head,Strategies for Resistance,Author,Vyvian Raoul,Author,Matt Bonner,Introduction by,Josh MacPhee,,,,,,,,,15.95,"<p><em>Advertising Shits in Your Head</em> calls adverts what they are&mdash;a powerful means of control through manipulation&mdash;and highlights how people across the world are fighting back. It diagnoses the problem and offers practical tips for a DIY remedy. Faced with an ad-saturated world, activists are fighting back, equipped with stencils, printers, high-visibility vests, and utility tools. Their aim is to subvert the adverts that control us.</p>
<p>With case studies from both sides of the Atlantic, this book showcases the ways in which small groups of activists are taking on corporations and states at their own game: propaganda. This international edition includes an illustrated introduction from Josh MacPhee, case studies and interviews with Art in Ad Places, Public Ad Campaign, Resistance Is Female, Brandalism, and Special Patrol Group, plus photography from Luna Park and Jordan Seiler.</p>
<p>This is a call-to-arts for a generation raised on adverts. Beginning with a rich and detailed analysis of the pernicious hold advertising has on our lives, the book then moves on to offer practical solutions and guidance on how to subvert the ads. Using a combination of ethnographic research and theoretical analysis, <em>Advertising Shits in Your Head</em> investigates the claims made by subvertising practitioners and shows how they impact their practice.</p>"
9781604864069,9781604866896,Against_Architecture_9781604866896.pdf,Against Architecture,,Author,Franco La Cecla,Translated by,Mairin O’Mahony,,,,,,,,,,,14.95,"<p>First published in 2008, (as <em>Contro l&rsquo;architettura</em>), <em>Against Architecture</em> has been translated into French and Greek, with editions forthcoming in Polish and Portuguese. The book is a passionate and erudite charge against the celebrities of the current architectural world, the &ldquo;archistars.&rdquo; According to Franco La Cecla, architecture has lost its way and its true function, as the archistars use the cityscape to build their brand, putting their stamp on the built environment with no regard for the public good.</p>
<p>More than a diatribe against the trade for which he trained, Franco La Cecla issues a call to rethink urban space, to take our cities back from what he calls Casino Capitalism, which has left a string of failed urban projects, from the Sagrera of Barcelona to the expansion of Columbia University in New York City. He finds hope and some surprising answers in the 2006 uprisings in the Parisian suburbs and in wandering the streets of San Francisco. La Cecla recounts his peregrinations, whether as a consultant to urban planners or as an incorrigible flaneur, all the while giving insights into how we might find a way to resist the tyranny of the planners and find the spirit of place. As he comments throughout on the works of past and present masters of urban and landscape writing, including Robert Byron, Mike Davis, and Rebecca Solnit, Franco La Cecla has given us a book that will take an important place in our public discourse.</p>"
9781629633855,9781629633961,Against_Doom_9781629633961.pdf,Against Doom,A Climate Insurgency Manual,Author,Jeremy Brecher,,,,,,,,,,,,,12.95,"While the world's people suffer the apocalyptic torments of floods, &#10;fires, droughts, heatwaves, desertification, disease vectors, food &#10;shortages, forced migration, ecosystem collapse, extinction,&#160;and other &#10;effects of uncontrolled climate change, the world's governmental and &#10;political leaders continue to accelerate&#160;our wild ride to climate &#10;doom.&#160;Is there any way for the rest of us to put on the brakes?<br><br>Climate&#10; insurgency&#160;is a strategy for using people power to realize our common &#10;interest in protecting the climate. It uses mass, global, nonviolent &#10;action to challenge the legitimacy of public and corporate officials who&#10; are perpetrating climate destruction.<br><br>A global climate &#10;insurgency has already begun. It has the potential to halt and roll back&#10; the fossil fuel agenda and the global thrust toward climate &#10;destruction.<br><br><em>Against Doom: A Climate Insurgency Manual</em>&#160;tells&#10; how to put that strategy into action&#8212;and how it can succeed. It is a &#10;handbook for halting global warming and restoring our climate&#8212;a how-to &#10;for climate insurgents."
9781629632353,9781629633329,against_urbanism_9781629633329.pdf,Against Urbanism,,Author,Franco La Cecla,Translated by,Mairin O’Mahony,,,,,,,,,,,14.95,"<p>After demolishing the myth of the rock star architect with his book <em>Against Architecture</em>, Franco La Cecla now explores the decisive challenges that cities are going to have to confront in the near future. Urban planning and development has become increasingly inadequate in response to the daily realities of life in our cities. Human, economic, ethnic, and environmental factors are systematically overlooked in city planning and housing development, and anachronistic, sterile, and formalistic architecture almost invariably prevails. Meanwhile, our cities grow out of internal impulses, not only in slums and favelas but through the pressing needs for public spaces which have sprung forth in great events and movements such as Istanbul&rsquo;s Gezi Park and Occupy Wall Street. Never more than today has democracy played itself out in public spaces, sidewalks, and streets. Urban planners and developers, however, are still prisoners of an obsolete vision of passivity which betrays actual city needs and demands. A new urban science is required which can, first of all, guarantee a civil, dignified life for all&mdash;urban development which ensures the right to a humane mode of daily living, which has been and still is completely ignored.</p>
<p>&ldquo;Accustomed as we are to thinking that changes take place online or on a global scale, we sense that they are not made of human bodies in urban spaces and that the mere presence in the square of people claiming their right to the city is a political fact, explosive in nature.&rdquo; &mdash;Franco La Cecla (from <em>Against Urbanism</em>)</p>"
9781604865905,9781604867640,AlMutanabbi_Street_Starts_Here_9781604867640.pdf,Al-Mutanabbi Street Starts Here,"Poets and Writers Respond to the March 5th, 2007, Bombing of Baghdad's ""Street of the Booksellers""",Edited by,Beau Beausoleil,Edited by,Deema Shehabi,,,,,,,,,,,20.00,"<p>On March 5th, 2007, a car bomb was exploded on al-Mutanabbi Street in Baghdad. More than thirty people were killed and more than one hundred were wounded. This locale is the historic center of Baghdad bookselling, a winding street filled with bookstores and outdoor book stalls. Named after the famed 10th century classical Arab poet al-Mutanabbi, it has been the heart and soul of the Baghdad literary and intellectual community. This anthology begins with a historical introduction to al-Mutanabbi Street and includes the writing of Iraqis as well as a wide swath of international poets and writers who were outraged by this attack.</p>
<p>This book seeks to show where al-Mutanabbi Street starts in all of us: personally, in our communities, and in our nations. It seeks to show the commonality between this small street in Baghdad and our own cultural centers, and why this attack was an attack on us all. This anthology sees al-Mutanabbi Street as a place for the free exchange of ideas; a place that has long offered its sanctuary to the complete spectrum of Iraqi voices. This is where the roots of democracy (in the best sense of that word) took hold many hundreds of years ago. This anthology looks toward al-Mutanabbi Street as an affirmation of all that we hope for in a more just society.</p>
<p>Contributors include: Beau Beausoleil, Musa al-Musawi, Anthony Shadid, Mousa al-Naseri, Naomi Shihab Nye, Deena Metzger, Sam Hamod, Lutfiya Al-Dulaimi, Zaid Shlah, Persis Karim, Ayub Nuri, Marian Haddad, Sarah Browning, Eileen Grace O&rsquo;Malley Callahan, Roger Sederat, Elline Lipkin, Esther Kamkar, Robert Perry, Gloria Collins, Brian Turner, Gloria Frym, Owen Hill, Abd al-Rahim, Salih al-Rahim, Yassin &ldquo;The Narcicyst&rdquo; Alsalman, Jose Luis Gutierrez, Sargon Boulus, Peter Money, Sinan Antoon, Muhammad al-Hamrani, Livia Soto, Janet Sternburg, Sam Hamill, Salah Al-Hamdani, Gail Sher, Dunya Mikhail, Irada Al Jabbouri, Dilara Cirit, Niamh MacFionnlaoich, Erica Goss, Daisy Zamora, George Evans, Steve Dickison, Maysoon Pachachi, Summer Brenner, Jen Hofer, Rijin Sahakian, Badr Shakir al-Sayyab, Jane Hirshfield, Jack Marshall, Susan Moon, Diana di Prima, Evelyn So, Nahrain Al-Mousawi, Ko Un, Joe Lamb, Katrina Rodabaugh, Mohammed Hayawi, Nazik Al-Malaika, Raya Asee, Gazar Hantoosh, Mark Abley, Majid Naficy, Lewis Buzbee, Ibn al-Utri, Thomas Christensen, Amy Gerstler, Genny Lim, Saadi Youssef, Judith Lyn Suttton, Josh Kun, Dana Teen Lomax, Etel Adnan, Bushra Al-Bustani, Marilyn Hacker, Richard Harrison, Fady Joudah, Philip Metres, Hayan Charara, Annie Finch, Kazim Ali, Deema K. Shehabi, Kenneth Wong, Elmaz Abinader, Habib Tengour, Khaled Mattawa, Rachida Madani, Amina Said, Alise Alousi, Sita Carboni, Fran Bourassa, Jabez W. Churchill, Daniela Elza, Linda Norton, Fred Norman, Bonnie Nish, Janet Rodney, Adrienne Rich, Cornelius Eady, Julie Bruck, Kwame Dawes, Ralph Angel, B.H. Fairchild, Terese Svoboda, Mahmoud Darwish, Amir el-Chidiac, Aram Saroyan, Sholeh Wolpe, Nathalie Handal, Azar Nafisi, Dima Hilal, Tony Kranz, Jordan Elgrably, devorah major, Suzy Malcolm, Ibrahim Nasrallah, Rick London, Sarah Menefee, Roberto Harrison, Fadhil Al-Azzawi, Amaranth Borsuk, Lamees Al-Ethari, Shayma&rsquo; al-Saqr, Meena Alexander, and Jim Natal.</p>"
9781629637051,9781629637693,all_of_me_9781629637693.pdf,All of Me,"Stories of Love, Anger, and the Female Body",Edited by,Dani Burlison,,,,,,,,,,,,,19.95,"<p>With women&rsquo;s anger, empowerment, and the critical importance of intersectional feminism taking center stage in much of the dialogue happening in feminist spaces right now, an anthology like this has never been more important. The voices in this collection of essays and interviews offer perspectives and experiences that help women find common ground, unity, and allyship.</p>
<p>Through personal essays and interviews about what it is like to live as a woman (cis + trans) in this modern world&mdash;with all of our love, anger, complexities, and desires for justice&mdash;<em>All of Me: Stories of Love, Anger, and the Female Body</em> includes vulnerable, painful truths and bold inspiration.</p>
<p>This anthology is for seasoned feminists and young feminists alike&mdash;anyone looking to find inspiration in radical activism, creativity, healing, and more. This book covers topics of social and economic justice, creativity, racism, transgender perspectives, sexuality, sex work, addiction and recovery, reproductive rights, assault, relationship dynamics, families, fitting and not fitting in, radical self-care, witchcraft, and more.</p>
<p>If love and anger are two sides of the same coin, for women there are worlds to be explored with every flip of that coin. Readers will find a glimpse into those worlds in the pages of <em>All of Me</em>.</p>
<p>Contributors include Silvia Federici, Michelle Cruz Gonzales, Ariel Gore, Laurie Penny, Lidia Yuknavitch, Christine No, Kandis Williams, Vatan Doost, Deya, Phoenix LeFae, Anna Silastre, Michel Wing, Bethany Ridenour, Lorelle Saxena, Airial Clark, Patty Stonefish, Nayomi Munaweera, Melissa Madera, Margaret Elysia Garcia, Leilani Clark, Ariel Erskine, Wendy-O Matik, Kara Vernor, Starhawk, adrienne maree brown, Gerri Ravyn Stanfield, Sanam Mahloudji, Melissa Chadburn, Avery Erickson, and Milla Prince.</p>"
9781604861112,9781604867374,All_Power_to_the_Councils_9781604867374.pdf,All Power to the Councils!,A Documentary History of the German Revolution of 1918–1919,Edited and translated by,Gabriel Kuhn,,,,,,,,,,,,,26.95,"<p>The German Revolution erupted out of the ashes of World War I, triggered by mutinying sailors refusing to be sacrificed in the final carnage of the war. While the Social Democrats grabbed power, radicals across the country rallied to establish a communist society under the slogan &ldquo;All Power to the Councils!&rdquo; The Spartacus League launched an uprising in Berlin, council republics were proclaimed in Bremen and Bavaria, and workers' revolts shook numerous German towns. Yet in an act that would tragically shape the course of history, the Social Democratic government crushed the rebellions with the help of right-wing militias, paving the way for the ill-fated Weimar Republic&mdash;and ultimately the ascension of the Nazis.</p>
<p>This definitive documentary history collects manifestos, speeches, articles, and letters from the German Revolution&mdash;Rosa Luxemburg, the Revolutionary Stewards, and Gustav Landauer amongst others&mdash;introduced and annotated by the editor. Many documents, such as the anarchist Erich M&uuml;hsam's comprehensive account of the Bavarian Council Republic, are presented here in English for the first time. The volume also includes materials from the Red Ruhr Army that repelled the reactionary Kapp Putsch in 1920 and the communist bandits that roamed Eastern Germany until 1921. <em>All Power to the Councils!</em> provides a dynamic and vivid picture of a time of great hope and devastating betrayal.</p>"
9781604865080,9781604862676,alternative_vegan_9781604862676.pdf,Alternative Vegan,International Vegan Fare Straight from the Produce Aisle,Author,Dino Sarma Weierman,,,,,,,,,,,,,17.95,"<p>&ldquo;I want you to look at the recipes presented here and be as excited as a kid with a new toy. I want your heart to race, your mouth to water, and your pots and pans to sing to you as they bring together the elements of a good dining experience....&rdquo; &ndash;From the Introduction</p><p>Tofu, seitan, tempeh, tofu, seitan, tempeh.&hellip; it seems like so many vegans rely on these products as meat substitutes. Isn&rsquo;t it time to break out of the mold? Taking a fresh, bold, and alternative approach to vegan cooking without the substitutes, this cookbook showcases more than 100 fully vegan recipes, many of which have South Asian influences. With a jazz-style approach to cooking, it also discusses how to improvise cooking with simple ingredients and how to stock a kitchen to prepare simple and delicious vegan meals quickly. The recipes for mouth-watering dishes include one-pot meals--such as South-Indian Uppama and Chipotle Garlic Risotto along with Pakoras, Flautas, Bajji, Kashmiri Biriyani, Hummus Canapes, and No-Cheese Pizza. With new, improved recipes this updated edition also shows how to cook simply to let the flavor of fresh ingredients shine through.</p>
<p>Explore your inner chef and get cooking with Dino!</p>"
9781629639635,9781629639789,anarchic_agreements_9781629639789.pdf,Anarchic Agreements,A Field Guide to Collective Organizing,Author,Ruth Kinna,Author,Alex Prichard,Author,Thomas Swann,Author,Seeds for Change,,,,,,,15.95,"<p><b>A new world is possible and not just in our hearts. <em>Anarchic Agreements</em> is a quintessential field guide for the revolution, answering the practical questions often left out of works of political theory and philosophy.</b> How do leaderless groups organize? How might they create constitutions, balance power and write protocols? How do group cultures and institutions maintain coalitions? This urgent and inspiring how-to is the product of more than twenty years of research. Designed explicitly for everyday use, it contains lived examples, illustrations throughout, and text from current horizontally organized constitutions. These documents illustrate the never-ending process of developing community and keeping collaborations alive in the fairest ways possible. Written by dedicated anarchist scholars and organizers, and based on the widely popular <em>Anarchic Agreements</em> pamphlet series, this book facilitates grassroots activism and provides methods to improve and streamline decision making. It is an inspiring celebration of the novel, complex and flexible constitutions Anarchists have created over time. This book shows how to realize another world, collectively without domination, while leaving the future open to infinite other possibilities.</p>"
9781604861143,9781604864441,Anarchism_and_Education_9781604864441.pdf,Anarchism and Education,A Philosophical Perspective,Author,Judith Suisa,,,,,,,,,,,,,19.95,"<p>While there have been historical accounts of the anarchist school movement, there has been no systematic work on the philosophical underpinnings of anarchist educational ideas&mdash;until now.</p>
<p><em>Anarchism and Education</em> offers a philosophical account of the neglected tradition of anarchist thought on education. Although few anarchist thinkers wrote systematically on education, this analysis is based largely on a reconstruction of the educational thought of anarchist thinkers gleaned from their various ethical, philosophical and popular writings. Primarily drawing on the work of the nineteenth century anarchist theorists such as Bakunin, Kropotkin, and Proudhon, the book also covers twentieth century anarchist thinkers such as Noam Chomsky, Paul Goodman, Daniel Guerin, and Colin Ward.</p>
<p>This original work will interest philosophers of education and educationalist thinkers as well as those with a general interest in anarchism.</p>"
9781629635750,9781629635996,anarchism_anarchist_communism_state_9781629635996.pdf,"Anarchism, Anarchist Communism, and The State",Three Essays,Author,Peter Kropotkin,Introduction by,Brian Morris,Notes by,Iain McKay,,,,,,,,,14.95,"<p>Amid the clashes, complexities, and political personalities of world politics in the late nineteenth and early twentieth centuries, Peter Kropotkin stands out. Born a prince in Tsarist Russia and sent to Siberia to learn his militaristic, aristocratic trade, he instead renounced his titles and took up the &ldquo;beautiful idea&rdquo; of anarchism. Across a continent he would become known as a passionate advocate of a world without borders, without kings and bosses.</p>
<p>From a Russian cell to France, to London and Brighton, he used his extraordinary mind to dissect the birth of State power and then present a different vision, one in which the human impulse to liberty can be found throughout history, undying even in times of defeat. In the three essays presented here, Kropotkin attempted to distill his many insights into brief but brilliant essays on the state, anarchism, and the ideology for which he became a founding name&mdash;anarchist communism.</p>
<p>With a detailed and rich introduction from Brian Morris, and accompanied by bibliographic notes from Iain McKay, this collection contextualises and contemporises three of Kropotkin&rsquo;s most influential essays.</p>"
9781629639987,9781629639994,anarchist_critique_of_radical_democracy_9781629639994.pdf,Anarchist Critique of Radical Democracy,The Impossible Argument,Author,Markus Lundström,,,,,,,,,,,,,16.95,"<p><b>In the spring of 2013, a wave of urban riots swept across Sweden after police shot an elderly man in his own home.</b> When community residents from his marginalized city-district demanded an official apology, they were ignored. The anti-police insurgences that followed addressed deep problems of the Swedish welfare state, and the official responses revealed glitches built into democracy itself.</p> <p>In this updated edition of <em>Anarchist Critique of Radical Democracy: The Impossible Argument</em>, sociologist and historian Markus Lundström explores the boundaries of Swedish democracy. He probes in-depth interviews with community residents to explain how the 2013 riots intensified a profound democratic conflict: the social divide between the governors and the governed. Resistance to this divide is then traced through the defiance of governance and approaches to democracy in the history of anarchist thought.</p> <p>This book offers an original introduction to anarchism. It relates the diversity of anarchist thought to anti-police riots and the radicalization of democracy.</p>"
